UMAP_1,UMAP_2,cluster
18.103502,7.3919296,0
11.81591,-7.1487627,1
-1.562126,14.908358,2
11.074712,15.910992,3
10.636169,14.7528305,3
7.204018,1.5104599,4
-2.418257,7.067346,5
-2.4179251,7.068232,5
19.279514,6.158717,4
7.753344,17.33637,6
-1.2682871,16.806213,2
14.343329,-10.3235445,1
10.682306,14.9660015,3
14.875991,3.7252624,4
-2.918918,3.8151011,7
14.369247,8.022552,0
-2.193351,23.198753,2
3.304424,17.28693,8
11.663184,12.580411,3
19.2612,5.4884315,4
11.735482,-9.556859,1
7.222797,8.471506,0
10.17064,7.5624757,0
-6.1322455,14.650499,9
7.1242533,8.7242155,0
11.590306,-1.9338363,10
-8.925544,11.1818495,11
3.063029,18.114126,8
15.012598,3.7445652,4
12.107252,8.154016,0
10.135122,3.1112547,4
14.000462,-5.4885373,1
10.619491,14.788338,3
15.560389,-0.9221567,10
7.2546134,17.935204,6
18.063833,-4.644816,12
16.170559,3.9460626,4
-3.076612,3.9324117,7
7.349637,17.809267,6
7.527712,17.590221,6
11.568976,-9.43149,1
6.6535487,19.951838,6
1.4591784,7.304915,13
-1.3530557,15.790705,2
18.424469,-4.4127054,12
4.6270704,22.345835,6
11.725307,12.569398,3
13.200239,-1.450738,10
10.616469,7.6960745,0
18.741188,-4.1709743,12
16.030045,3.9238796,4
7.1495504,1.4293041,4
0.10976261,0.045324244,7
19.190338,6.27993,4
12.84805,18.97581,3
17.931023,-4.740302,12
8.50058,2.505415,4
12.542784,-9.949951,1
2.2586734,11.03019,13
13.0640745,19.771538,3
-1.2189295,18.037724,2
6.9739513,1.0770264,4
7.1453276,18.081161,6
-2.1529965,13.788704,2
13.213143,-10.10583,1
6.7516484,-5.2435856,14
11.333164,7.9034863,0
8.245238,2.3967237,4
-10.3695545,8.235761,15
8.948974,7.3546433,0
-3.0731728,3.9272969,7
6.730836,-5.5395823,14
3.8427477,22.099047,6
11.840714,-1.8411558,10
18.681015,-4.2229424,12
4.6228523,22.343712,6
-2.4205987,3.5190153,7
-10.30325,8.194335,15
7.608858,7.9709234,0
17.666325,7.6337676,0
-1.3002218,16.358791,2
13.3313055,3.5678263,4
4.76293,22.325472,6
11.331767,-9.208282,1
11.198283,-7.9179087,1
14.202813,-5.3631954,1
-3.6016872,-0.88109475,7
14.10596,13.361016,16
-11.409284,9.048165,15
16.11075,3.9447508,4
12.643815,-1.617779,10
13.079972,19.92373,3
-9.131591,0.3813669,17
6.9104333,0.62291366,4
-9.391466,7.73554,15
-5.6509895,-0.86795163,7
12.635063,-1.6208692,10
12.121473,12.631901,3
10.635729,13.470703,3
19.18725,5.3871,4
0.57854766,1.3635956,7
12.897411,19.079235,3
-6.123255,-8.762906,18
-10.098235,8.075399,15
13.065668,8.103696,0
12.9605465,19.272903,3
-3.36474,4.2090235,7
1.3162941,7.129106,13
14.341593,13.4037075,16
3.9309485,22.159979,6
-2.9966223,3.8673556,7
2.0002935,11.388567,13
17.193708,12.696958,16
-5.7424784,-0.8729877,7
-1.3762913,15.596211,2
11.4378805,-1.988567,10
5.065475,22.240484,6
16.87921,-10.863224,1
6.9061484,0.5695772,4
-3.4216022,-10.654973,18
-0.9494153,-11.840147,19
-0.45228615,-0.32248166,7
-6.9151425,17.510447,9
-0.61663926,-0.39780924,7
7.3095975,-4.0143504,14
13.980577,-5.5006666,1
16.941404,-10.8869,1
-9.027732,11.104184,11
11.269047,-9.084057,1
6.903289,0.42091268,4
-1.1507488,-6.303798,20
11.5803795,16.807444,3
16.181412,-0.48216832,10
-1.8459985,14.311299,2
0.80538464,6.685282,13
12.962342,20.518156,3
-6.573476,-8.615527,18
13.699645,-10.213617,1
11.010609,15.805495,3
-2.183756,-0.83801293,7
14.482009,-10.351104,1
17.322115,12.547746,16
12.165229,17.722586,3
-8.7397,1.5914755,17
-1.4303503,21.901411,2
2.2610304,11.025956,13
9.2954645,2.855971,4
9.393062,2.8915863,4
12.970248,19.27607,3
-6.423061,-0.94301635,7
-1.2235106,-11.864235,19
-5.5902724,-9.054896,18
8.92692,2.6801772,4
7.397545,1.7362956,4
-1.1697605,20.067823,2
12.2742815,8.146733,0
14.766017,13.448078,16
13.488656,-1.368846,10
12.196806,8.180061,0
-3.447365,23.69661,2
7.130815,1.3862481,4
12.571138,-9.950603,1
11.645392,12.580678,3
6.8786426,18.652464,6
10.934566,15.60613,3
-0.93316245,-0.5568765,7
-2.7146108,-11.115406,18
0.5675478,0.58066297,7
2.4776382,8.949288,13
3.0896406,18.162148,8
-11.230178,8.868429,15
11.354735,-7.6587405,1
-2.5420883,-5.6607046,20
0.39514947,0.34231547,7
16.141127,8.017561,0
14.341094,-10.319124,1
-7.462652,-8.624042,18
8.038039,17.048048,6
8.039084,17.044813,6
-1.5321517,22.244223,2
-4.901234,-0.8211265,7
11.401077,-7.5977874,1
2.6003942,9.625127,13
-6.93502,17.480846,9
-0.8585873,-6.445139,20
17.198046,-4.9774895,12
14.148932,13.370405,16
-6.752817,-0.95096827,7
17.271923,11.882944,16
